day,hour,minute,open
0,0,0,0
0,0,15,0
0,0,30,0
0,0,45,0
0,1,0,0
0,1,15,0
0,1,30,0
0,1,45,0
0,2,0,0
0,2,15,0
0,2,30,0
0,2,45,0
0,3,0,0
0,3,15,0
0,3,30,0
0,3,45,0
0,4,0,0
0,4,15,0
0,4,30,1
0,4,45,1
0,5,0,1
0,5,15,1
0,5,30,1
0,5,45,1
0,6,0,1
0,6,15,1
0,6,30,1
0,6,45,1
0,7,0,1
0,7,15,1
0,7,30,1
0,7,45,1
0,8,0,1
0,8,15,1
0,8,30,1
0,8,45,1
0,9,0,1
0,9,15,1
0,9,30,1
0,9,45,1
0,10,0,1
0,10,15,1
0,10,30,1
0,10,45,1
0,11,0,1
0,11,15,1
0,11,30,1
0,11,45,1
0,12,0,1
0,12,15,1
0,12,30,1
0,12,45,1
0,13,0,1
0,13,15,1
0,13,30,1
0,13,45,1
0,14,0,1
0,14,15,1
0,14,30,1
0,14,45,1
0,15,0,1
0,15,15,1
0,15,30,1
0,15,45,1
0,16,0,1
0,16,15,1
0,16,30,1
0,16,45,1
0,17,0,1
0,17,15,1
0,17,30,1
0,17,45,1
0,18,0,1
0,18,15,1
0,18,30,1
0,18,45,1
0,19,0,1
0,19,15,1
0,19,30,1
0,19,45,1
0,20,0,1
0,20,15,1
0,20,30,1
0,20,45,1
0,21,0,1
0,21,15,1
0,21,30,1
0,21,45,1
0,22,0,1
0,22,15,1
0,22,30,1
0,22,45,1
0,23,0,1
0,23,15,1
0,23,30,1
0,23,45,1
1,0,0,0
1,0,15,0
1,0,30,0
1,0,45,0
1,1,0,0
1,1,15,0
1,1,30,0
1,1,45,0
1,2,0,0
1,2,15,0
1,2,30,0
1,2,45,0
1,3,0,0
1,3,15,0
1,3,30,0
1,3,45,0
1,4,0,0
1,4,15,0
1,4,30,1
1,4,45,1
1,5,0,1
1,5,15,1
1,5,30,1
1,5,45,1
1,6,0,1
1,6,15,1
1,6,30,1
1,6,45,1
1,7,0,1
1,7,15,1
1,7,30,1
1,7,45,1
1,8,0,1
1,8,15,1
1,8,30,1
1,8,45,1
1,9,0,1
1,9,15,1
1,9,30,1
1,9,45,1
1,10,0,1
1,10,15,1
1,10,30,1
1,10,45,1
1,11,0,1
1,11,15,1
1,11,30,1
1,11,45,1
1,12,0,1
1,12,15,1
1,12,30,1
1,12,45,1
1,13,0,1
1,13,15,1
1,13,30,1
1,13,45,1
1,14,0,1
1,14,15,1
1,14,30,1
1,14,45,1
1,15,0,1
1,15,15,1
1,15,30,1
1,15,45,1
1,16,0,1
1,16,15,1
1,16,30,1
1,16,45,1
1,17,0,1
1,17,15,1
1,17,30,1
1,17,45,1
1,18,0,1
1,18,15,1
1,18,30,1
1,18,45,1
1,19,0,1
1,19,15,1
1,19,30,1
1,19,45,1
1,20,0,1
1,20,15,1
1,20,30,1
1,20,45,1
1,21,0,1
1,21,15,1
1,21,30,1
1,21,45,1
1,22,0,1
1,22,15,1
1,22,30,1
1,22,45,1
1,23,0,1
1,23,15,1
1,23,30,1
1,23,45,1
2,0,0,0
2,0,15,0
2,0,30,0
2,0,45,0
2,1,0,0
2,1,15,0
2,1,30,0
2,1,45,0
2,2,0,0
2,2,15,0
2,2,30,0
2,2,45,0
2,3,0,0
2,3,15,0
2,3,30,0
2,3,45,0
2,4,0,0
2,4,15,0
2,4,30,1
2,4,45,1
2,5,0,1
2,5,15,1
2,5,30,1
2,5,45,1
2,6,0,1
2,6,15,1
2,6,30,1
2,6,45,1
2,7,0,1
2,7,15,1
2,7,30,1
2,7,45,1
2,8,0,1
2,8,15,1
2,8,30,1
2,8,45,1
2,9,0,1
2,9,15,1
2,9,30,1
2,9,45,1
2,10,0,1
2,10,15,1
2,10,30,1
2,10,45,1
2,11,0,1
2,11,15,1
2,11,30,1
2,11,45,1
2,12,0,1
2,12,15,1
2,12,30,1
2,12,45,1
2,13,0,1
2,13,15,1
2,13,30,1
2,13,45,1
2,14,0,1
2,14,15,1
2,14,30,1
2,14,45,1
2,15,0,1
2,15,15,1
2,15,30,1
2,15,45,1
2,16,0,1
2,16,15,1
2,16,30,1
2,16,45,1
2,17,0,1
2,17,15,1
2,17,30,1
2,17,45,1
2,18,0,1
2,18,15,1
2,18,30,1
2,18,45,1
2,19,0,1
2,19,15,1
2,19,30,1
2,19,45,1
2,20,0,1
2,20,15,1
2,20,30,1
2,20,45,1
2,21,0,1
2,21,15,1
2,21,30,1
2,21,45,1
2,22,0,1
2,22,15,1
2,22,30,1
2,22,45,1
2,23,0,1
2,23,15,1
2,23,30,1
2,23,45,1
3,0,0,0
3,0,15,0
3,0,30,0
3,0,45,0
3,1,0,0
3,1,15,0
3,1,30,0
3,1,45,0
3,2,0,0
3,2,15,0
3,2,30,0
3,2,45,0
3,3,0,0
3,3,15,0
3,3,30,0
3,3,45,0
3,4,0,0
3,4,15,0
3,4,30,1
3,4,45,1
3,5,0,1
3,5,15,1
3,5,30,1
3,5,45,1
3,6,0,1
3,6,15,1
3,6,30,1
3,6,45,1
3,7,0,1
3,7,15,1
3,7,30,1
3,7,45,1
3,8,0,1
3,8,15,1
3,8,30,1
3,8,45,1
3,9,0,1
3,9,15,1
3,9,30,1
3,9,45,1
3,10,0,1
3,10,15,1
3,10,30,1
3,10,45,1
3,11,0,1
3,11,15,1
3,11,30,1
3,11,45,1
3,12,0,1
3,12,15,1
3,12,30,1
3,12,45,1
3,13,0,1
3,13,15,1
3,13,30,1
3,13,45,1
3,14,0,1
3,14,15,1
3,14,30,1
3,14,45,1
3,15,0,1
3,15,15,1
3,15,30,1
3,15,45,1
3,16,0,1
3,16,15,1
3,16,30,1
3,16,45,1
3,17,0,1
3,17,15,1
3,17,30,1
3,17,45,1
3,18,0,1
3,18,15,1
3,18,30,1
3,18,45,1
3,19,0,1
3,19,15,1
3,19,30,1
3,19,45,1
3,20,0,1
3,20,15,1
3,20,30,1
3,20,45,1
3,21,0,1
3,21,15,1
3,21,30,1
3,21,45,1
3,22,0,1
3,22,15,1
3,22,30,1
3,22,45,1
3,23,0,1
3,23,15,1
3,23,30,1
3,23,45,1
4,0,0,1
4,0,15,1
4,0,30,1
4,0,45,1
4,1,0,0
4,1,15,0
4,1,30,0
4,1,45,0
4,2,0,0
4,2,15,0
4,2,30,0
4,2,45,0
4,3,0,0
4,3,15,0
4,3,30,0
4,3,45,0
4,4,0,0
4,4,15,0
4,4,30,1
4,4,45,1
4,5,0,1
4,5,15,1
4,5,30,1
4,5,45,1
4,6,0,1
4,6,15,1
4,6,30,1
4,6,45,1
4,7,0,1
4,7,15,1
4,7,30,1
4,7,45,1
4,8,0,1
4,8,15,1
4,8,30,1
4,8,45,1
4,9,0,1
4,9,15,1
4,9,30,1
4,9,45,1
4,10,0,1
4,10,15,1
4,10,30,1
4,10,45,1
4,11,0,1
4,11,15,1
4,11,30,1
4,11,45,1
4,12,0,1
4,12,15,1
4,12,30,1
4,12,45,1
4,13,0,1
4,13,15,1
4,13,30,1
4,13,45,1
4,14,0,1
4,14,15,1
4,14,30,1
4,14,45,1
4,15,0,1
4,15,15,1
4,15,30,1
4,15,45,1
4,16,0,1
4,16,15,1
4,16,30,1
4,16,45,1
4,17,0,1
4,17,15,1
4,17,30,1
4,17,45,1
4,18,0,1
4,18,15,1
4,18,30,1
4,18,45,1
4,19,0,1
4,19,15,1
4,19,30,1
4,19,45,1
4,20,0,1
4,20,15,1
4,20,30,1
4,20,45,1
4,21,0,1
4,21,15,1
4,21,30,1
4,21,45,1
4,22,0,1
4,22,15,1
4,22,30,1
4,22,45,1
4,23,0,1
4,23,15,1
4,23,30,1
4,23,45,1
5,0,0,1
5,0,15,1
5,0,30,1
5,0,45,1
5,1,0,1
5,1,15,1
5,1,30,1
5,1,45,1
5,2,0,1
5,2,15,1
5,2,30,1
5,2,45,1
5,3,0,1
5,3,15,1
5,3,30,1
5,3,45,1
5,4,0,1
5,4,15,1
5,4,30,1
5,4,45,1
5,5,0,1
5,5,15,1
5,5,30,1
5,5,45,1
5,6,0,1
5,6,15,1
5,6,30,1
5,6,45,1
5,7,0,1
5,7,15,1
5,7,30,1
5,7,45,1
5,8,0,1
5,8,15,1
5,8,30,1
5,8,45,1
5,9,0,1
5,9,15,1
5,9,30,1
5,9,45,1
5,10,0,1
5,10,15,1
5,10,30,1
5,10,45,1
5,11,0,1
5,11,15,1
5,11,30,1
5,11,45,1
5,12,0,1
5,12,15,1
5,12,30,1
5,12,45,1
5,13,0,1
5,13,15,1
5,13,30,1
5,13,45,1
5,14,0,1
5,14,15,1
5,14,30,1
5,14,45,1
5,15,0,1
5,15,15,1
5,15,30,1
5,15,45,1
5,16,0,1
5,16,15,1
5,16,30,1
5,16,45,1
5,17,0,1
5,17,15,1
5,17,30,1
5,17,45,1
5,18,0,1
5,18,15,1
5,18,30,1
5,18,45,1
5,19,0,1
5,19,15,1
5,19,30,1
5,19,45,1
5,20,0,1
5,20,15,1
5,20,30,1
5,20,45,1
5,21,0,1
5,21,15,1
5,21,30,1
5,21,45,1
5,22,0,1
5,22,15,1
5,22,30,1
5,22,45,1
5,23,0,1
5,23,15,1
5,23,30,1
5,23,45,1
6,0,0,1
6,0,15,1
6,0,30,1
6,0,45,1
6,1,0,1
6,1,15,1
6,1,30,1
6,1,45,1
6,2,0,1
6,2,15,1
6,2,30,1
6,2,45,1
6,3,0,1
6,3,15,1
6,3,30,1
6,3,45,1
6,4,0,1
6,4,15,1
6,4,30,1
6,4,45,1
6,5,0,1
6,5,15,1
6,5,30,1
6,5,45,1
6,6,0,1
6,6,15,1
6,6,30,1
6,6,45,1
6,7,0,1
6,7,15,1
6,7,30,1
6,7,45,1
6,8,0,1
6,8,15,1
6,8,30,1
6,8,45,1
6,9,0,1
6,9,15,1
6,9,30,1
6,9,45,1
6,10,0,1
6,10,15,1
6,10,30,1
6,10,45,1
6,11,0,1
6,11,15,1
6,11,30,1
6,11,45,1
6,12,0,1
6,12,15,1
6,12,30,1
6,12,45,1
6,13,0,1
6,13,15,1
6,13,30,1
6,13,45,1
6,14,0,1
6,14,15,1
6,14,30,1
6,14,45,1
6,15,0,1
6,15,15,1
6,15,30,1
6,15,45,1
6,16,0,1
6,16,15,1
6,16,30,1
6,16,45,1
6,17,0,1
6,17,15,1
6,17,30,1
6,17,45,1
6,18,0,1
6,18,15,1
6,18,30,1
6,18,45,1
6,19,0,1
6,19,15,1
6,19,30,1
6,19,45,1
6,20,0,1
6,20,15,1
6,20,30,1
6,20,45,1
6,21,0,1
6,21,15,1
6,21,30,1
6,21,45,1
6,22,0,1
6,22,15,1
6,22,30,1
6,22,45,1
6,23,0,0
6,23,15,0
6,23,30,0
6,23,45,0